"Bin Center","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine"
60,1.0000000000,1.0000000000,0.9989969910,0.9984423676,0.9958904110,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9975031211,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99492385786802,0.99709864603482,,,1.00000000000000,0.98512396694215,0.99769850402762,0.99911971830986,0.99860724233983,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99752781211372,0.99778270509978,0.99722991689751,0.99719495091164,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
62,1.0000000000,1.0000000000,0.9989969910,0.9984423676,0.9958904110,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9975031211,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99492385786802,0.99903288201161,,,1.00000000000000,0.98512396694215,0.99769850402762,0.99911971830986,0.99860724233983,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99752781211372,0.99778270509978,0.99722991689751,0.99719495091164,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
64,1.0000000000,1.0000000000,0.9989969910,1.0000000000,0.9972602740,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9987515605,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99492385786802,0.99903288201161,,,1.00000000000000,0.98842975206612,0.99769850402762,1.00000000000000,0.99860724233983,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99752781211372,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
66,1.0000000000,1.0000000000,0.9989969910,1.0000000000,0.9972602740,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9987515605,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.98842975206612,0.99884925201381,1.00000000000000,0.99860724233983,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99752781211372,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
68,1.0000000000,1.0000000000,0.9989969910,1.0000000000,0.9972602740,0.9946428571,1.0000000000,1.0000000000,1.0000000000,0.9987515605,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99008264462810,0.99884925201381,1.00000000000000,0.99860724233983,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99752781211372,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
70,1.0000000000,1.0000000000,0.9989969910,1.0000000000,0.9972602740,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,0.99784017278618,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99008264462810,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
72,1.0000000000,1.0000000000,0.9989969910,1.0000000000,0.9986301370,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99008264462810,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
74,1.0000000000,1.0000000000,0.9989969910,1.0000000000,1.0000000000,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99173553719008,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
76,1.0000000000,1.0000000000,0.9989969910,1.0000000000,1.0000000000,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99173553719008,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99694189602447,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
78,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99173553719008,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99796126401631,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
80,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9946428571,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,0.99832775919732,0.98265895953757,1.00000000000000,1.00000000000000,0.99661590524535,1.00000000000000,,,1.00000000000000,0.99338842975207,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99876390605686,0.99778270509978,1.00000000000000,0.99859747545582,0.99796126401631,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
82,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9964285714,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98265895953757,1.00000000000000,1.00000000000000,0.99830795262267,1.00000000000000,,,1.00000000000000,0.99504132231405,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99778270509978,1.00000000000000,0.99859747545582,0.99796126401631,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
84,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9964285714,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98265895953757,1.00000000000000,1.00000000000000,0.99830795262267,1.00000000000000,,,1.00000000000000,0.99504132231405,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99778270509978,1.00000000000000,0.99859747545582,0.99796126401631,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
86,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9964285714,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98265895953757,1.00000000000000,1.00000000000000,0.99830795262267,1.00000000000000,,,1.00000000000000,0.99504132231405,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99778270509978,1.00000000000000,0.99859747545582,0.99796126401631,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,,
