"Bin Center","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine"
1500,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98466257668712,0.99756097560976,0.93689320388350,1.00000000000000,0.98198198198198,0.99784017278618,1.00000000000000,0.87719298245614,1.00000000000000,0.92268041237113,0.99831081081081,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.93457943925234,1.00000000000000,0.99375000000000,1.00000000000000,0.99111111111111,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.98542274052478,0.99584199584200,1.00000000000000,,
1550,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98773006134969,0.99756097560976,0.94660194174757,1.00000000000000,0.98198198198198,0.99784017278618,1.00000000000000,0.87719298245614,1.00000000000000,0.92783505154639,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.93925233644860,1.00000000000000,0.99375000000000,1.00000000000000,0.99111111111111,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.98542274052478,0.99584199584200,1.00000000000000,,
1600,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98773006134969,0.99756097560976,0.94660194174757,1.00000000000000,0.98498498498499,1.00000000000000,1.00000000000000,0.88888888888889,1.00000000000000,0.94329896907217,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.94392523364486,1.00000000000000,0.99687500000000,1.00000000000000,0.99333333333333,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.98542274052478,0.99792099792100,1.00000000000000,,
1650,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.98773006134969,0.99756097560976,0.95145631067961,1.00000000000000,0.98798798798799,1.00000000000000,1.00000000000000,0.90058479532164,1.00000000000000,0.94329896907217,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.94859813084112,1.00000000000000,0.99687500000000,1.00000000000000,0.99333333333333,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.99125364431487,0.99792099792100,1.00000000000000,,
1700,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99079754601227,1.00000000000000,0.95145631067961,1.00000000000000,0.99099099099099,1.00000000000000,1.00000000000000,0.91812865497076,1.00000000000000,0.94845360824742,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.95327102803738,1.00000000000000,0.99687500000000,1.00000000000000,0.99555555555556,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.99416909620991,1.00000000000000,1.00000000000000,,
1750,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99079754601227,1.00000000000000,0.95631067961165,1.00000000000000,0.99099099099099,1.00000000000000,1.00000000000000,0.92397660818713,1.00000000000000,0.95360824742268,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.95794392523365,1.00000000000000,0.99687500000000,1.00000000000000,0.99555555555556,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.99416909620991,1.00000000000000,1.00000000000000,,
1800,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99079754601227,1.00000000000000,0.96116504854369,1.00000000000000,0.99399399399399,1.00000000000000,1.00000000000000,0.92397660818713,1.00000000000000,0.96391752577320,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.95794392523365,1.00000000000000,0.99687500000000,1.00000000000000,0.99555555555556,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.99416909620991,1.00000000000000,1.00000000000000,,
1850,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99079754601227,1.00000000000000,0.97087378640777,1.00000000000000,0.99399399399399,1.00000000000000,1.00000000000000,0.92982456140351,1.00000000000000,0.96391752577320,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99769053117783,0.96261682242991,1.00000000000000,0.99687500000000,1.00000000000000,0.99777777777778,0.99722222222222,1.00000000000000,1.00000000000000,1.00000000000000,0.99416909620991,1.00000000000000,1.00000000000000,,
1900,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99386503067485,1.00000000000000,0.98058252427185,1.00000000000000,0.99399399399399,1.00000000000000,1.00000000000000,0.93567251461988,1.00000000000000,0.96391752577320,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.96728971962617,1.00000000000000,1.00000000000000,1.00000000000000,0.99777777777778,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99416909620991,1.00000000000000,1.00000000000000,,
1950,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99386503067485,1.00000000000000,0.98058252427185,1.00000000000000,0.99399399399399,1.00000000000000,1.00000000000000,0.93567251461988,1.00000000000000,0.96391752577320,1.00000000000000,1.00000000000000,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.97196261682243,1.00000000000000,1.00000000000000,1.00000000000000,0.99777777777778,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,0.99708454810496,1.00000000000000,1.00000000000000,,
